"id","priority","requirement_status","release_evidence_status","evidence_refs","exception_ref","blocker_reason"
"PRD-015","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"REP-001","P0","Approved","verified","docs/plans/m2-repository-status-snapshot.md; crates/subversionr-daemon/tests/native_bridge.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; packages/vscode-extension/src/diagnostics/installedSourceControlSurfaceReport.ts; packages/vscode-extension/src/repository/repositoryDiscoveryService.ts; packages/vscode-extension/src/repository/repositoryLifecycleService.ts; packages/vscode-extension/src/repository/repositorySessionService.ts; packages/vscode-extension/tests/installedSourceControlSurfaceReport.test.ts; packages/vscode-extension/tests/repositoryDiscoveryService.test.ts; packages/vscode-extension/tests/repositoryLifecycleService.test.ts; packages/vscode-extension/tests/repositorySessionService.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/release/test-vscode-installed-source-control-surface.ps1; scripts/tests/release-installed-source-control-surface-scripts.tests.ps1","none","none"
"REP-002","P0","Approved","verified","docs/plans/m2-repository-status-snapshot.md; crates/subversionr-daemon/tests/native_bridge.rs; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/repository/repositoryLifecycleService.ts; packages/vscode-extension/src/scm/sourceControlProjectionService.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/repositoryLifecycleService.test.ts; packages/vscode-extension/tests/repositorySessionService.test.ts; packages/vscode-extension/tests/sourceControlProjectionService.test.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","none"
"REP-003","P0","Approved","verified","docs/plans/m3-dirty-path-status-engine.md; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/src/repository/repositoryLifecycleService.ts; packages/vscode-extension/src/repository/repositorySessionService.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/tests/repositoryLifecycleService.test.ts; packages/vscode-extension/tests/repositorySessionService.test.ts; packages/vscode-extension/tests/repositoryWatcherService.test.ts; packages/vscode-extension/tests/dirtyPathPipeline.test.ts","none","none"
"REP-004","P0","Approved","verified","docs/plans/m3-dirty-path-status-engine.md; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; packages/vscode-extension/src/backend/backendProcess.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/src/repository/repositoryDiscoveryPlanning.ts; packages/vscode-extension/src/repository/repositoryDiscoveryService.ts; packages/vscode-extension/src/repository/repositoryLifecycleService.ts; packages/vscode-extension/src/diagnostics/installedSourceControlSurfaceReport.ts; packages/vscode-extension/src/extension.ts; packages/vscode-extension/package.json; packages/vscode-extension/tests/backendProcess.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/tests/repositoryDiscoveryService.test.ts; packages/vscode-extension/tests/repositoryLifecycleService.test.ts; packages/vscode-extension/tests/repositorySessionService.test.ts; packages/vscode-extension/tests/installedSourceControlSurfaceReport.test.ts; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","none"
"REP-005","P0","Approved","partial","Reference/requirements.csv; docs/plans/m2-repository-status-snapshot.md; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; packages/vscode-extension/src/repository/repositorySessionService.ts; packages/vscode-extension/tests/repositorySessionService.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/src/diagnostics/installedSourceControlSurfaceReport.ts; packages/vscode-extension/tests/installedSourceControlSurfaceReport.test.ts; scripts/release/test-vscode-installed-source-control-surface.ps1; scripts/tests/release-installed-source-control-surface-scripts.tests.ps1; packages/vscode-extension/tests/stateEngineBetaPerformanceGate.test.ts; scripts/release/test-state-engine-beta-performance.ps1; scripts/tests/release-state-engine-beta-performance-scripts.tests.ps1","none","full workspace-scope-only projection fixture, installed subdirectory-scope UI evidence proving out-of-scope working-copy resources stay hidden, WC-level operation coverage from subdirectory scopes, multi-root/nested scope edge cases, accessibility evidence, and broader installed performance/load evidence remain open"
"REP-006","P0","Approved","verified","Reference/requirements.csv; packages/vscode-extension/src/repository/repositorySessionService.ts; packages/vscode-extension/src/repository/repositoryLifecycleService.ts; packages/vscode-extension/tests/repositorySessionService.test.ts; packages/vscode-extension/tests/repositoryLifecycleService.test.ts; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/native_bridge.rs","none","none"
"REP-007","P0","Approved","verified","Reference/requirements.csv; crates/subversionr-protocol/src/lib.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/native_bridge.rs; packages/vscode-extension/src/status/statusSnapshotRpcClient.ts; packages/vscode-extension/tests/statusSnapshotRpcClient.test.ts; packages/vscode-extension/src/scm/resourceStateClassifier.ts; packages/vscode-extension/tests/scmResourceStateClassifier.test.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts","none","none"
"REP-008","P0","Approved","verified","Reference/requirements.csv; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; packages/vscode-extension/src/status/statusSnapshotRpcClient.ts; packages/vscode-extension/tests/statusSnapshotRpcClient.test.ts; packages/vscode-extension/src/status/statusRefreshRpcClient.ts; packages/vscode-extension/tests/statusRefreshRpcClient.test.ts; packages/vscode-extension/src/scm/resourceStateClassifier.ts; packages/vscode-extension/tests/scmResourceStateClassifier.test.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts","none","none"
"REP-009","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"REP-010","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"REP-011","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"REP-012","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"REP-013","P0","Approved","verified","packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/tests/repositoryLifecycleService.test.ts; packages/vscode-extension/tests/repositorySessionService.test.ts; packages/vscode-extension/tests/backendService.test.ts; packages/vscode-extension/tests/diagnosticsReportService.test.ts; packages/vscode-extension/tests/installedRepositoryLifecycleReport.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1","none","none"
"REP-014","P0","Approved","verified","packages/vscode-extension/tests/repositoryLifecycleService.test.ts; packages/vscode-extension/tests/repositoryLifecycleNotificationService.test.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/installedRepositoryLifecycleReport.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1","none","none"
"REP-015","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"STA-001","P0","Approved","partial","docs/plans/m2-repository-status-snapshot.md; docs/plans/m3-dirty-path-status-engine.md; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/status/statusSnapshotStore.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/src/scm/sourceControlProjectionService.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/backendStatusSnapshotClient.test.ts; packages/vscode-extension/tests/statusSnapshotStore.test.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/sourceControlProjectionService.test.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/tests/stateEngineBetaPerformanceGate.test.ts; scripts/release/test-state-engine-beta-performance.ps1; scripts/tests/release-state-engine-beta-performance-scripts.tests.ps1","none","golden status fixture breadth, installed SCM E2E, lock/switched/sparse/property-specific native fixtures, and installed large-working-copy UI load evidence remain open"
"STA-002","P0","Approved","partial","docs/plans/m3-dirty-path-status-engine.md; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts","none","property and tree conflict variants, installed conflict-priority UI evidence, and native conflict matrix evidence remain open"
"STA-003","P0","Approved","verified","docs/plans/m3-dirty-path-status-engine.md; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/src/scm/sourceControlProjectionService.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/sourceControlProjectionService.test.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","none"
"STA-004","P0","Approved","partial","docs/plans/m2-repository-status-snapshot.md; docs/plans/m3-dirty-path-status-engine.md; crates/subversionr-daemon/tests/native_bridge.rs; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts","none","installed SCM E2E, ignored/unversioned edge fixture breadth, and release-load evidence remain open"
"STA-005","P0","Approved","partial","docs/plans/m3-dirty-path-status-engine.md; crates/subversionr-protocol/src/lib.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/status/statusRefreshRpcClient.ts","none","explicit ignored on-demand scan UI/command, installed/load evidence, and ignored-mode setting evidence remain open"
"STA-006","P0","Approved","verified","docs/plans/m2-repository-status-snapshot.md; docs/plans/m3-dirty-path-status-engine.md; packages/vscode-extension/src/status/statusSnapshotStore.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/src/scm/sourceControlProjectionService.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/statusSnapshotStore.test.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/sourceControlProjectionService.test.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts","none","none"
"STA-007","P0","Approved","partial","docs/plans/m3-dirty-path-status-engine.md; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts","none","installed SCM UI evidence and property-specific tooltip/detail evidence remain open"
"STA-008","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"STA-009","P0","Approved","partial","Reference/requirements.csv; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/src/bridge.rs; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/src/native.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/native_bridge.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/operations/operationRunRpcClient.ts; packages/vscode-extension/src/operations/backendOperationClient.ts; packages/vscode-extension/tests/operationRunRpcClient.test.ts; packages/vscode-extension/tests/backendOperationClient.test.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/src/status/statusSnapshotRpcClient.ts; packages/vscode-extension/tests/statusSnapshotRpcClient.test.ts; packages/vscode-extension/src/status/statusRefreshRpcClient.ts; packages/vscode-extension/tests/statusRefreshRpcClient.test.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","broad remote lock/auth/certificate matrices, load evidence, and richer accessibility evidence remain open"
"STA-010","P0","Approved","partial","Reference/02_Product_Requirements_and_UX.md; Reference/03_Functional_Specification.md; crates/subversionr-protocol/src/lib.rs; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/tests/native_bridge.rs; crates/subversionr-daemon/src/native.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; packages/vscode-extension/src/status/statusSnapshotRpcClient.ts; packages/vscode-extension/tests/statusSnapshotRpcClient.test.ts; packages/vscode-extension/src/status/statusSnapshotStore.ts; packages/vscode-extension/tests/statusSnapshotStore.test.ts; packages/vscode-extension/src/scm/resourceStateClassifier.ts; packages/vscode-extension/tests/scmResourceStateClassifier.test.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/src/scm/sourceControlProjectionService.ts; packages/vscode-extension/tests/sourceControlProjectionService.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts","none","installed VS Code Source Control UI tooltip/accessibility evidence, explicit decoration evidence beyond tooltip text, and installed end-to-end localization evidence remain open"
"STA-011","P0","Approved","verified","docs/plans/m3-dirty-path-status-engine.md; packages/vscode-extension/package.json; packages/vscode-extension/src/status/statusSettings.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/src/scm/sourceControlProjectionService.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/statusSettings.test.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/sourceControlProjectionService.test.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/tests/extensionManifest.test.ts","none","none"
"STA-012","P0","Approved","partial","packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/sourceControlProjectionService.test.ts; packages/vscode-extension/tests/statusSnapshotStore.test.ts; packages/vscode-extension/tests/statusStaleNotificationHandler.test.ts; packages/vscode-extension/tests/statusRefreshScheduler.test.ts; packages/vscode-extension/tests/statusRefreshRpcClient.test.ts; packages/vscode-extension/tests/backendStatusRefreshClient.test.ts; packages/vscode-extension/tests/dirtyPathPipeline.test.ts; packages/vscode-extension/tests/jsonRpcStreamClient.test.ts; packages/vscode-extension/tests/backendProcess.test.ts; packages/vscode-extension/tests/backendService.test.ts; packages/vscode-extension/tests/backendLifecycleUiService.test.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/repositorySessionService.test.ts; crates/subversionr-protocol/tests/protocol_contract.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/stdio_rpc.rs; crates/subversionr-daemon/tests/native_bridge.rs; crates/subversionr-daemon/src/native.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; scripts/native/build-bridge.ps1; scripts/native/smoke-bridge.ps1; packages/vscode-extension/tests/stateEngineBetaPerformanceGate.test.ts; scripts/release/test-state-engine-beta-performance.ps1; scripts/tests/release-state-engine-beta-performance-scripts.tests.ps1","none","daemon-side status/delta push triggers, installed VS Code accessibility evidence, installed large-working-copy UI load evidence, and backend status fixture evidence remain open"
"STA-013","P0","Approved","verified","docs/plans/m3-dirty-path-status-engine.md; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/src/status/dirtyPathPipeline.ts; packages/vscode-extension/src/status/statusRefreshScheduler.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/tests/dirtyPathPipeline.test.ts; packages/vscode-extension/tests/statusRefreshScheduler.test.ts; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/release/capture-vscode-renderer-ui.mjs; packages/vscode-extension/src/status/repositoryRefreshService.ts; packages/vscode-extension/src/diagnostics/installedSourceControlUiE2eStatusRefreshProbe.ts; packages/vscode-extension/tests/repositoryRefreshService.test.ts; packages/vscode-extension/tests/installedSourceControlUiE2eStatusRefreshProbe.test.ts","none","none"
"STA-014","P0","Approved","partial","packages/vscode-extension/tests/statusRefreshScheduler.test.ts; packages/vscode-extension/tests/statusSnapshotStore.test.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/sourceControlProjectionService.test.ts; packages/vscode-extension/tests/statusStaleNotificationHandler.test.ts; packages/vscode-extension/tests/diagnosticsReportService.test.ts; packages/vscode-extension/tests/statusRefreshRpcClient.test.ts; packages/vscode-extension/tests/backendStatusRefreshClient.test.ts; packages/vscode-extension/tests/dirtyPathPipeline.test.ts; packages/vscode-extension/tests/jsonRpcStreamClient.test.ts; packages/vscode-extension/tests/vscodeSourceControlPresenter.test.ts; packages/vscode-extension/src/scm/vscodeSourceControlPresenter.ts; packages/vscode-extension/tests/installedSourceControlSurfaceReport.test.ts; packages/vscode-extension/src/diagnostics/installedSourceControlSurfaceReport.ts; packages/vscode-extension/tests/backendProcess.test.ts; packages/vscode-extension/tests/backendService.test.ts; packages/vscode-extension/src/backend/backendService.ts; packages/vscode-extension/tests/backendLifecycleUiService.test.ts; packages/vscode-extension/src/backend/backendLifecycleUiService.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/src/extension.ts; packages/vscode-extension/package.json; packages/vscode-extension/tests/repositorySessionService.test.ts; packages/vscode-extension/src/status/watcherOverflowDiagnostics.ts; packages/vscode-extension/src/status/statusStaleNotificationHandler.ts; packages/vscode-extension/src/diagnostics/diagnosticsReportService.ts; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-daemon/tests/stdio_rpc.rs; crates/subversionr-daemon/tests/native_bridge.rs; crates/subversionr-daemon/src/native.rs; native/svn-bridge/include/subversionr_bridge.h; native/svn-bridge/src/subversionr_bridge.c; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/native/build-bridge.ps1; scripts/native/smoke-bridge.ps1; packages/vscode-extension/tests/stateEngineBetaPerformanceGate.test.ts; scripts/release/test-state-engine-beta-performance.ps1; scripts/tests/release-state-engine-beta-performance-scripts.tests.ps1","none","installed protocol-fault E2E evidence and installed large-working-copy load evidence remain open"
"STA-015","P0","Approved","verified","docs/plans/m3-dirty-path-status-engine.md; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs; crates/subversionr-protocol/tests/protocol_contract.rs; packages/vscode-extension/src/status/statusSnapshotStore.ts; packages/vscode-extension/src/scm/sourceControlResourceStore.ts; packages/vscode-extension/tests/statusSnapshotStore.test.ts; packages/vscode-extension/tests/sourceControlResourceStore.test.ts; packages/vscode-extension/tests/dirtyPathPipeline.test.ts","none","none"
"STA-016","P1","Approved","verified","docs/plans/m4-core-scm-operations.md; packages/vscode-extension/src/extension.ts; packages/vscode-extension/src/repository/repositoryCommandController.ts; packages/vscode-extension/tests/repositoryCommandController.test.ts; packages/vscode-extension/package.json; packages/vscode-extension/tests/extensionManifest.test.ts; scripts/release/test-vscode-installed-source-control-ui-e2e.ps1; scripts/tests/release-installed-source-control-ui-e2e-scripts.tests.ps1","none","none"
